epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9511,2.01132,5.38512,4.18911,1.88064,0.00221,0.32639,0.009,0.00316,0.00159,0.22768,0.00776,0.0021,1.99887,3.47536,4.03327,1.83215,8e-05,8e-05,8e-05
2,6.8274,1.67422,3.06198,3.84516,1.61781,0.01602,0.23129,0.06737,0.03646,0.01657,0.28644,0.06961,0.03864,1.82687,3.41676,3.88904,1.66367,0.000168317,0.000168317,0.000168317
3,9.68549,1.49693,2.22053,3.48216,1.42373,0.02125,0.30907,0.08782,0.05309,0.02165,0.32424,0.09246,0.04834,1.53922,3.35793,3.66764,1.47502,0.000254852,0.000254852,0.000254852
4,12.6481,1.42268,2.03097,2.97807,1.39743,0.01647,0.3923,0.10445,0.06402,0.01633,0.41303,0.10393,0.05995,1.3271,3.24869,3.47531,1.37608,0.000339605,0.000339605,0.000339605
5,15.5128,1.45815,1.84078,2.57783,1.42288,0.01457,0.58443,0.17511,0.10438,0.01487,0.62331,0.17972,0.08549,1.32922,3.26861,3.26157,1.43602,0.000422576,0.000422576,0.000422576
6,18.3527,1.46847,1.76168,2.39997,1.39682,0.91675,0.08769,0.22351,0.11514,0.91675,0.08769,0.23354,0.10701,1.44123,2.91572,2.9475,1.49768,0.000503765,0.000503765,0.000503765
7,21.1877,1.41461,1.76028,2.29659,1.36137,0.75758,0.16036,0.24519,0.12802,0.76545,0.17147,0.24945,0.11341,1.30502,2.43035,2.6877,1.38675,0.000583172,0.000583172,0.000583172
8,24.0103,1.36737,1.64384,2.17411,1.3608,0.61332,0.20278,0.28232,0.13869,0.61332,0.20278,0.29759,0.1304,1.40725,2.43332,2.60219,1.46483,0.000660797,0.000660797,0.000660797
9,26.8311,1.39567,1.68498,2.17866,1.35471,0.50608,0.27239,0.28748,0.12406,0.52667,0.31684,0.3002,0.11829,1.47375,2.68983,2.56993,1.52408,0.00073664,0.00073664,0.00073664
10,29.6324,1.37956,1.53374,2.05287,1.34106,0.26599,0.28333,0.27189,0.12174,0.26773,0.2875,0.26719,0.10678,1.35057,2.82998,2.46876,1.47941,0.000810701,0.000810701,0.000810701
11,32.4356,1.35631,1.65598,2.04756,1.31386,0.374,0.33818,0.28985,0.14287,0.37388,0.32707,0.28435,0.12579,1.38029,2.56501,2.32902,1.4682,0.00088298,0.00088298,0.00088298
12,35.2459,1.33054,1.55919,2.00896,1.30534,0.3603,0.33864,0.26078,0.14372,0.35029,0.29003,0.26128,0.1284,1.36886,2.83902,2.32358,1.4609,0.0008911,0.0008911,0.0008911
13,38.0668,1.2909,1.50202,1.94634,1.28768,0.36612,0.4056,0.26021,0.14874,0.36222,0.38337,0.25391,0.12686,1.3761,3.15271,2.26665,1.38762,0.0008812,0.0008812,0.0008812
14,40.874,1.28705,1.46292,1.88399,1.31214,0.29607,0.46009,0.29802,0.15998,0.25468,0.40228,0.27186,0.12368,1.40196,3.05693,2.0839,1.43951,0.0008713,0.0008713,0.0008713
15,43.7034,1.27166,1.45175,1.85756,1.28211,0.25476,0.51429,0.28081,0.15035,0.23789,0.47231,0.25881,0.13197,1.40279,2.73209,2.01563,1.42441,0.0008614,0.0008614,0.0008614
16,46.6441,1.23983,1.52863,1.85015,1.25114,0.26605,0.52137,0.33651,0.18122,0.27922,0.53553,0.35871,0.16852,1.37732,1.96768,1.92013,1.4275,0.0008515,0.0008515,0.0008515
17,49.4625,1.27129,1.42727,1.82231,1.25218,0.23498,0.62223,0.34212,0.18887,0.23738,0.598,0.36273,0.16094,1.36605,2.08103,2.15631,1.4644,0.0008416,0.0008416,0.0008416
18,52.2912,1.26307,1.5481,1.80829,1.254,0.24254,0.44247,0.26349,0.13781,0.24397,0.44878,0.2548,0.10571,1.40379,2.45793,2.45538,1.52862,0.0008317,0.0008317,0.0008317
19,55.0986,1.25255,1.39888,1.77847,1.24394,0.24795,0.42411,0.26944,0.14557,0.28804,0.44873,0.29965,0.13301,1.38856,2.01123,2.36005,1.49443,0.0008218,0.0008218,0.0008218
20,57.9171,1.28477,1.35244,1.80661,1.25938,0.36776,0.37572,0.37342,0.19892,0.42825,0.41495,0.42385,0.20096,1.36559,1.83937,1.944,1.4298,0.0008119,0.0008119,0.0008119
21,60.7588,1.2561,1.35537,1.69461,1.25377,0.36065,0.50275,0.43021,0.23687,0.37901,0.5293,0.45332,0.23731,1.36413,1.84257,1.81659,1.42197,0.000802,0.000802,0.000802
22,63.5696,1.2279,1.36655,1.7718,1.27579,0.43169,0.40783,0.42486,0.23523,0.43659,0.41159,0.4369,0.25074,1.34077,2.06128,1.86001,1.39777,0.0007921,0.0007921,0.0007921
23,66.3919,1.21685,1.40512,1.69079,1.25109,0.32333,0.46558,0.3474,0.18844,0.25211,0.5739,0.35688,0.1962,1.47445,2.34896,1.9028,1.50651,0.0007822,0.0007822,0.0007822
24,69.2174,1.2184,1.4023,1.67053,1.24746,0.22748,0.58973,0.32305,0.17454,0.29772,0.54805,0.34219,0.1779,1.31232,1.94192,2.44679,1.397,0.0007723,0.0007723,0.0007723
25,72.0096,1.21706,1.33369,1.58433,1.22613,0.26792,0.60373,0.33359,0.18076,0.28403,0.68644,0.35436,0.18958,1.26869,1.70085,1.96087,1.34235,0.0007624,0.0007624,0.0007624
26,74.8178,1.18035,1.28613,1.56136,1.22339,0.34708,0.64284,0.39267,0.21864,0.35105,0.64988,0.39593,0.21851,1.25829,1.57915,1.82539,1.30896,0.0007525,0.0007525,0.0007525
27,77.7281,1.18033,1.34024,1.64048,1.2084,0.36596,0.60481,0.40082,0.21658,0.3738,0.62826,0.41937,0.21909,1.2926,1.59622,1.82243,1.33822,0.0007426,0.0007426,0.0007426
28,80.5762,1.16253,1.35355,1.60864,1.19021,0.28244,0.54272,0.35287,0.19282,0.27858,0.51861,0.39333,0.18924,1.29397,1.58889,2.02349,1.35862,0.0007327,0.0007327,0.0007327
29,83.3852,1.15863,1.34011,1.62812,1.19635,0.27678,0.51411,0.3315,0.1911,0.2872,0.45767,0.34413,0.18118,1.24391,1.59483,1.95847,1.33933,0.0007228,0.0007228,0.0007228
30,86.1868,1.10208,1.29205,1.54195,1.16802,0.26627,0.60522,0.33141,0.17975,0.28869,0.6644,0.35412,0.18379,1.22833,1.59108,2.07078,1.31998,0.0007129,0.0007129,0.0007129
31,88.9785,1.12678,1.28964,1.57496,1.18037,0.27037,0.62808,0.34941,0.19674,0.27746,0.6503,0.36496,0.19646,1.20069,1.60612,2.21104,1.29938,0.000703,0.000703,0.000703
32,91.7617,1.18229,1.40729,1.5945,1.20049,0.35695,0.43279,0.39239,0.1993,0.32481,0.50401,0.38936,0.2124,1.32602,1.60184,1.79267,1.35973,0.0006931,0.0006931,0.0006931
33,94.5574,1.15645,1.2709,1.5721,1.19201,0.31919,0.51594,0.39968,0.20759,0.32849,0.53827,0.41369,0.21288,1.27939,1.51944,1.76755,1.31979,0.0006832,0.0006832,0.0006832
34,97.361,1.09678,1.27204,1.46924,1.16703,0.34285,0.63837,0.37461,0.19617,0.35363,0.63326,0.37566,0.19571,1.2237,1.53136,1.85565,1.28264,0.0006733,0.0006733,0.0006733
35,100.135,1.11022,1.25481,1.50109,1.16174,0.29349,0.68989,0.35233,0.19569,0.29249,0.67884,0.34652,0.19561,1.21402,1.48594,2.10227,1.28115,0.0006634,0.0006634,0.0006634
36,102.944,1.08131,1.24343,1.46961,1.1702,0.31616,0.64193,0.40211,0.22702,0.31946,0.63786,0.42533,0.226,1.24301,1.57687,1.87876,1.28655,0.0006535,0.0006535,0.0006535
37,105.852,1.13035,1.25067,1.43795,1.16728,0.33245,0.55493,0.38665,0.21369,0.34708,0.59961,0.41375,0.22695,1.29013,1.61217,1.81582,1.34151,0.0006436,0.0006436,0.0006436
38,108.616,1.09712,1.22764,1.42802,1.15035,0.3016,0.61267,0.35962,0.20355,0.32262,0.62931,0.40954,0.21368,1.26532,1.60538,1.73124,1.33773,0.0006337,0.0006337,0.0006337
39,111.388,1.09427,1.24868,1.41284,1.14356,0.30375,0.53899,0.35975,0.2203,0.32951,0.56805,0.40404,0.22054,1.24673,1.57503,1.76693,1.3213,0.0006238,0.0006238,0.0006238
40,114.188,1.1241,1.2219,1.43717,1.20119,0.30592,0.58126,0.36775,0.19797,0.34731,0.55034,0.4019,0.20738,1.26187,1.56517,1.8288,1.31812,0.0006139,0.0006139,0.0006139
41,116.993,1.04748,1.25214,1.32047,1.11189,0.3263,0.682,0.38972,0.21431,0.33819,0.62803,0.40299,0.21402,1.25952,1.55971,1.85714,1.2986,0.000604,0.000604,0.000604
42,119.78,1.06922,1.182,1.32018,1.15628,0.36789,0.55687,0.41965,0.23782,0.38694,0.58327,0.45031,0.24278,1.24516,1.63271,1.80862,1.31002,0.0005941,0.0005941,0.0005941
43,122.541,1.04944,1.1782,1.37004,1.1143,0.37503,0.576,0.42384,0.2446,0.41052,0.56359,0.45377,0.24256,1.26263,1.71026,1.69356,1.30792,0.0005842,0.0005842,0.0005842
44,125.357,1.0832,1.18601,1.32543,1.15111,0.399,0.57536,0.4183,0.22208,0.39698,0.5713,0.41058,0.21934,1.25541,1.71359,1.75413,1.30634,0.0005743,0.0005743,0.0005743
45,128.174,1.01533,1.09555,1.2665,1.10591,0.35709,0.65842,0.39772,0.22266,0.36799,0.66814,0.40242,0.22108,1.22868,1.66427,1.77755,1.307,0.0005644,0.0005644,0.0005644
46,131.053,1.03542,1.21127,1.23459,1.10484,0.38321,0.6668,0.41959,0.23842,0.40957,0.65613,0.43779,0.24263,1.21269,1.63847,1.89176,1.30223,0.0005545,0.0005545,0.0005545
47,133.835,1.01674,1.15558,1.28939,1.10227,0.41782,0.59809,0.44727,0.25579,0.43668,0.57971,0.45911,0.25418,1.19414,1.62568,2.00659,1.29273,0.0005446,0.0005446,0.0005446
48,136.799,0.98925,1.16639,1.24741,1.09269,0.40407,0.75714,0.44747,0.2471,0.40646,0.76121,0.4589,0.252,1.2442,1.66395,1.58871,1.30554,0.0005347,0.0005347,0.0005347
49,139.604,1.01142,1.18985,1.27385,1.09531,0.3532,0.60472,0.44421,0.25115,0.36253,0.60102,0.45718,0.26283,1.29152,1.72683,1.70273,1.32193,0.0005248,0.0005248,0.0005248
50,142.53,1.04579,1.19525,1.2512,1.07685,0.35353,0.60782,0.44489,0.2676,0.35986,0.57832,0.44881,0.27215,1.28568,1.70084,1.78756,1.33362,0.0005149,0.0005149,0.0005149
51,145.448,0.99749,1.19995,1.26822,1.10045,0.42824,0.51823,0.4708,0.27556,0.43077,0.54836,0.46783,0.2757,1.29554,1.79208,1.73766,1.3101,0.000505,0.000505,0.000505
52,148.279,0.99918,1.1271,1.22604,1.10574,0.43873,0.48679,0.46759,0.26872,0.39787,0.53002,0.45955,0.26977,1.23261,1.68792,1.67432,1.28268,0.0004951,0.0004951,0.0004951
53,151.092,0.98123,1.13596,1.21479,1.06947,0.42908,0.53771,0.46431,0.27743,0.4287,0.53761,0.46462,0.27255,1.21857,1.63363,1.71942,1.26841,0.0004852,0.0004852,0.0004852
54,153.88,0.9568,1.09003,1.23937,1.07858,0.41779,0.57449,0.44391,0.25851,0.42027,0.57866,0.44449,0.25654,1.26528,1.60791,1.82676,1.31618,0.0004753,0.0004753,0.0004753
55,156.679,0.95508,1.08587,1.18467,1.08634,0.38912,0.61091,0.42974,0.25354,0.38869,0.61094,0.43438,0.25418,1.28029,1.56303,1.78789,1.32937,0.0004654,0.0004654,0.0004654
56,159.501,0.95299,1.09225,1.18269,1.08661,0.42454,0.54577,0.43335,0.265,0.41379,0.55036,0.44805,0.26757,1.19465,1.56635,1.79911,1.26103,0.0004555,0.0004555,0.0004555
57,162.3,0.94583,1.09295,1.17347,1.0768,0.40753,0.51249,0.42591,0.25761,0.41715,0.52138,0.44607,0.25799,1.20861,1.61132,1.80507,1.29803,0.0004456,0.0004456,0.0004456
58,165.104,0.93799,1.10365,1.14257,1.06908,0.38483,0.56558,0.39661,0.2448,0.41241,0.54722,0.42979,0.24424,1.22828,1.64743,1.84877,1.32013,0.0004357,0.0004357,0.0004357
59,168.037,0.96773,1.03561,1.1662,1.08615,0.32635,0.65337,0.41058,0.25242,0.33029,0.66052,0.4283,0.25704,1.22093,1.66804,1.78394,1.29534,0.0004258,0.0004258,0.0004258
60,170.837,0.91734,1.14948,1.19305,1.06484,0.34672,0.5935,0.4367,0.25816,0.35812,0.5964,0.4514,0.26671,1.25298,1.59946,1.76576,1.28832,0.0004159,0.0004159,0.0004159
61,173.606,0.93702,1.1449,1.21435,1.08059,0.41497,0.56263,0.45237,0.26694,0.41497,0.56263,0.4582,0.26918,1.23424,1.59085,1.72849,1.29662,0.000406,0.000406,0.000406
62,176.502,0.91272,1.0867,1.12179,1.04956,0.40446,0.56816,0.44929,0.26276,0.4102,0.57249,0.45195,0.26207,1.21865,1.60371,1.65101,1.29155,0.0003961,0.0003961,0.0003961
63,179.392,0.95353,1.09593,1.14836,1.06039,0.39875,0.63489,0.4472,0.25942,0.397,0.61394,0.44614,0.25525,1.24244,1.57332,1.67147,1.31634,0.0003862,0.0003862,0.0003862
64,182.17,0.91069,1.07511,1.08958,1.03854,0.40758,0.47857,0.39023,0.21984,0.42336,0.47872,0.40485,0.22641,1.29684,1.55042,1.76822,1.34947,0.0003763,0.0003763,0.0003763
65,184.975,0.9212,1.05776,1.07948,1.0457,0.31627,0.60714,0.39728,0.21916,0.31963,0.61285,0.40445,0.22596,1.29076,1.56372,1.81212,1.33928,0.0003664,0.0003664,0.0003664
66,187.767,0.94655,1.08404,1.1329,1.07114,0.31686,0.62125,0.41365,0.2321,0.33982,0.57452,0.41554,0.23785,1.27514,1.59047,1.81755,1.32267,0.0003565,0.0003565,0.0003565
67,190.577,0.90501,1.10146,1.12194,1.03947,0.36225,0.66446,0.41142,0.23628,0.36508,0.6715,0.4168,0.23982,1.23746,1.61366,1.79865,1.28287,0.0003466,0.0003466,0.0003466
68,193.38,0.86989,0.99806,1.13528,1.0403,0.38416,0.48985,0.41211,0.24138,0.38342,0.49069,0.41527,0.23719,1.23065,1.62473,1.88358,1.27223,0.0003367,0.0003367,0.0003367
69,196.153,0.93245,1.07502,1.11438,1.05771,0.34872,0.62283,0.43004,0.25332,0.35044,0.63376,0.42868,0.24794,1.22417,1.72625,1.81797,1.26933,0.0003268,0.0003268,0.0003268
